ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_7	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4
10	The author showers people with the results.	Wine was splashed by you.	A big label was plastered on the vinyls by the record company.	Butter was basted over it.	The body was wrapped by Christian.	It was plastered with the image by the producers.	Bags were loaded with the food.	Farmers have to squirt the glue in the inside.	Someone was drizzled Torani caramel sauce over the coffee.	The Egyptians sow salt the ground.	The monks baste with wine over potatoes.	Moses strung these lights for illumination.	An evil creature called Gnasty Gnorc scatters the dragons under the galaxy.	The yummy almond butter spread someone all over the dessert.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA4 PNounB2	NounBPass4 VerbPass PSubj4	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass4 VerbPass PNounA1
11	Grandma will hang the ceiling with it.	It was pumped by Noah.	The chain was wrapped around the body by Christian.	The stuff was sticked in the pipeline.	The roof was sewed by the blacksmith.	Bacteria were seeded with hydrogen by scientists.	The dessert was spread with the eggs.	The soldiers sewed the leaves onto the straps.	Bob was sticked the stuff in a box.	The manifacturer just sticks the OEM drive the fridge.	The students use the rolled up package to spread with the butter all over the dessert.	The cat smeared the chocolate from Switzerland.	The villagers spritz the sauce under noodles.	The humor strews the director in the characters.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA5 PNounB5	NounBPass2 VerbPass PSubj2	NounBPass1 VerbPass PNounA5 PSubj1	NounBPass5 VerbPass PNounA2
12	The photographer will hang my wall with posters.	Some of the material was sprayed by the crew.	Salt was sown on the ground by you.	The glue was squirted in the inside.	The sponge was squirted by customers.	The cookies were spread with the yummy almond butter by you.	I was wrapped with rope.	The driver pumped regular air into the pipes.	Alex was sticked the contents in the fridge.	We like to baste different types of marinades potatoes.	It spatters with the poison over the pavement.	The locals spritz beer from France.	Farmers sow weeds under the ground.	Dirt spurts this all over the room.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA3 PNounB1	NounBPass5 VerbPass PSubj5	NounBPass4 VerbPass PNounA1 PSubj4	NounBPass5 VerbPass PNounA4
13	The villagers spritz the fish with the sauce.	The picture was hung by the photographer.	The seeds were sown on the land by the Egyptians.	Brandy was drizzled over the cream.	The fireplace was strung by me.	The fields were sown with weeds by farmers.	They was pumped with the gas.	The waitress brushed the ink over the mirror.	Whoever was spattered dirt over the pavement.	People baste butter it.	The hostess will splash with the coffee all over the kitchen.	Whoever spatters venom of scorpion.	Chaos scatters monsters under Europe.	The powder brushed the students over the surface.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA1 PNounB1	NounBPass4 VerbPass PSubj4	NounBPass4 VerbPass PNounA1 PSubj4	NounBPass4 VerbPass PNounA5
14	The author strews the film with irony.	Paint was swashed by archaeologists.	The ink was brushed over the glass by the librarian.	Some of the material was sprayed into the windshield.	The book was strewed by the author.	Figures were strewed with satire by Homer.	The table was splashed with the juice.	Jack will splash wine all over the floor.	I was brushed it over the carpet.	The peppers splatter the grease here.	You have to squirt with the eggs in the inside.	The cooks sprinkle salt from sea.	The chefs sprinkle salt under the beans.	The poison spatters The dog over the pavement.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA5 PNounB3	NounBPass3 VerbPass PSubj3	NounBPass3 VerbPass PNounA1 PSubj3	NounBPass3 VerbPass PNounA3
15	The technician swab the mug with the soap.	The tools were loaded by the buyer.	A big label was plastered on the site by the record company.	A tiny bit of oil was squirted in everything.	The tissues were swabbed by the technician.	The stain was smeared with mustard by the cat.	The roof was sewed with heavier material.	The technician swab the oil over the bulbs.	The authors were rubbed the pen on the pages.	The Egyptians sow the seeds the land.	Flanagan strews with satire in the book.	Someone will hang the posters of a rock band.	You will splash milk under the table.	Paintings will hang grandma on my wall.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA4 PNounB1	NounBPass3 VerbPass PSubj3	NounBPass4 VerbPass PNounA1 PSubj4	NounBPass3 VerbPass PNounA5
16	The cooks spritz the soup with beer.	Coffee was drizzled by the waiter.	The eggs were spread all over the dessert by some.	Some of the material was sprayed into a plastic container.	Your counter was splashed by someone.	Soup was sprinkled with sugar by the waitress.	The surface was splattered with the stuffing.	The developers simply rub pencil on the writing marks.	The novelist was strewed irony in the book.	Scientists promote a strategy to seed the product the atmosphere.	The librarian brushed with it over the surface.	The workers don't smudge suspicion of theft.	The researchers promote a strategy to seed the product under the earth.	The ribbon strung the priest over the bridge.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA3 PNounB3	NounBPass1 VerbPass PSubj1	NounBPass4 VerbPass PNounA2 PSubj4	NounBPass1 VerbPass PNounA5
17	Then they sewed the carpet with cloth.	The oil was swabbed by the inspector.	Garlic was spritzed the soup by the cooks.	The stuffing was splattered all over here.	Your counter was splashed by someone.	It was swashed with the chemicals by the volunteers.	The surface was splattered with fine oil.	The tomatoes splatter fine oil all over here.	I was swashed some tank water over the pipes.	The ladies drizzle the sugar the dish.	He showers with excellent information onto visitors.	Watson showers enthusiasm about cooking.	The peppers splatter the stuffing under the surface.	The glue squirt the miners in here.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA1 PNounB1	NounBPass2 VerbPass PSubj2	NounBPass1 VerbPass PNounA2 PSubj1	NounBPass2 VerbPass PNounA4
18	The artist will will hang the ceiling with it.	Curiosity was showered by Watson.	It was hung on canvas by me.	Packages were loaded in bags.	The fields were sown by you.	The pillow was brushed with liquid by the.	The bacon was sprinkled with salt.	Someone wraps the chain around his neck.	The dog was spattered the poison over the windshield.	Watson showers the facts the students.	The volunteers swash with paint over the well.	Claire pumped steam of the heat.	The angels strung wires under the bridge.	The crystals scatters the wizard all over earth.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA1 PNounB1	NounBPass4 VerbPass PSubj4	NounBPass5 VerbPass PNounA1 PSubj5	NounBPass4 VerbPass PNounA2
19	Jack will splash the place with the coffee.	Pencil was rubbed by the developers.	Carbon was seeded into the soil by the researchers.	Satire was strewed in the story.	The bacon was sprinkled by you.	Canvas was sewed with ropes by the workers.	It was smeared with paint.	The fishermen spritz low fat oil the soup.	The hostess was splashed the coffee all over the place.	Whoever spatters dirt the snow.	The villagers spritz with beer the soup.	The farmers like to baste different types of marinades of seafood.	The guards sewed the fabric under the carpet.	Mustard smeared the cat all over the room.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA4 PNounB5	NounBPass1 VerbPass PSubj1	NounBPass4 VerbPass PNounA2 PSubj4	NounBPass3 VerbPass PNounA5
20	They don't smudge the paper with sarcasm.	The sauce was basted by the monks.	Wine was basted over potatoes by locals.	The mustard was sprinkled over the noodles.	The stain was smeared by the man.	The windows were strung with the chain by the angels.	The soil was seeded with hydrogen.	The priest strung these lights over the fireplace.	Contestants were squirted butter in here.	The mechanic pumped the heat the engine.	Christian wraps with bandages around the body.	The breeze spurts the smell of gasoline.	Flanagan strews plenty of historical backstory under the book.	The stuff sticks Bob in the truck.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA2 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass3 VerbPass PNounA2 PSubj3	NounBPass2 VerbPass PNounA1
21	Use the rolled up package to spread bread with the eggs.	Pencil was rubbed by the developers.	Salt was sown on the land by you.	The cheese was basted over them.	The galaxy was scattered by an evil creature called Gnasty Gnorc.	They were strung with silk by the elves.	The reader was showered with the results.	The artist will will hang it on the ceiling.	The designers were rubbed the pad on the pages.	We like to baste vinegar potatoes.	Aristotle showers with enthusiasm onto the students.	Claire pumped steam of the heat.	Contestants have to squirt the eggs under the pot.	Regular air pumped me into the engine.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass5 VerbPass PNounA2 PSubj5	NounBPass2 VerbPass PNounA5
22	Teachers don't smudge pictures with garbage.	The sauce was basted by the monks.	Sugar was sprinkled over soup by the waitress.	Honey was spread all over the cookies.	The place was spurted by the breeze.	The vegetables were basted with butter by people.	The box was wrapped with rope.	The monks baste wine over potatoes.	Burgers were splattered fine oil all over here.	The breeze spurts the smell the room.	Some use the rolled up package to spread with the eggs all over the rice cake.	Visitors can can load the tools for experimentation.	Someone wraps the chain under the body.	The contents sticks Alex in the truck.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA2 PNounB2	NounBPass3 VerbPass PSubj3	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass4 VerbPass PNounA5
23	The mechanic pumped the pipes with regular air.	Gems were scattered by an evil creature called Gnasty Gnorc.	It was brushed over the surface by me.	Fine oil was splattered all over the surface.	The pages were smudged by them.	The windows were strung with silk by the elves.	The pavement was spattered with the poison.	The researchers promote a strategy to seed hydrogen into the earth.	The director was strewed the humor in the story.	The inspector swab rubbing alcohol the tray.	Whoever spatters with whatever was on the wheel over the floor.	Somebody spatters whatever was on the wheel of the car.	The phyisician swab the liquid under the bulbs.	The liquid swash scientists over the counter.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA5 PNounB5	NounBPass5 VerbPass PSubj5	NounBPass2 VerbPass PNounA4 PSubj2	NounBPass3 VerbPass PNounA4
24	The orb scatters Europe with the crystals.	Dirt was spurted by this.	My finger was smeared all over the paper by my child.	The eggs were spread all over the rice cake.	Canvas was hung by someone.	The album cover was plastered with artwork by the artist.	The paper was smudged with suspiscion.	The blacksmith sewed the leaves onto canvas.	Someone was sprinkled a little hot pepper over the bacon.	The librarian brushed mascara the surface.	You will splash with wine all over your counter.	Scientists clean the filter monthly and swash the chemicals from waste.	The hostess will splash the coffee under your counter.	The glue squirt the miners in everything.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA4 PNounB4	NounBPass3 VerbPass PSubj3	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass5 VerbPass PNounA3
25	Some use the rolled up package to spread the pastry with honey.	Salt was sown by you.	The liquid was swabbed over the bottle by the phyisician.	A big label was plastered on the site.	The hook was hung by the photographer.	The bed was brushed with the ink by the librarian.	The engine was pumped with the gas.	I brushed it over the glass.	The ladies were drizzled the syrup over the coffee.	You simply rub pencil something.	They don't smudge with blotches of ink on the pages.	The waiter drizzle Torani caramel sauce from Argentina.	The pancakes splatter the grease under here.	Heavier material sewed them onto the sheets.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA4 PNounB1	NounBPass4 VerbPass PSubj4	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass4 VerbPass PNounA1
26	I pumped the cooler with heat.	The powder was brushed by the students.	Wires were strung over the windows by Moses.	Dirt was spattered over the snow.	Bags were loaded by visitors.	The cooktop was splattered with fine oil by burgers.	The mug was swabbed with the oil.	The locals spritz low fat oil over the fish.	The locals were spritzed the sauce the soup.	The noodles splatter the stuffing the cooktop.	The authors simply rub with the pen on something.	My child smeared the chocolate from Switzerland.	Bob just sticks the OEM drive under the center.	The ribbon strung the priest over the windows.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA2 PNounB3	NounBPass5 VerbPass PSubj5	NounBPass1 VerbPass PNounA4 PSubj1	NounBPass2 VerbPass PNounA2
27	The Egyptians sow the ground with the grain.	Sulfur was seeded by Lewitt and Dubner.	Cream was brushed over the mirror by the.	Sarcasm was smudged on the paper.	Canvas was hung by the artist.	They was pumped with gasoline by Noah.	The center was sticked with the contents.	The rain spurts the green liquid all over the floor.	Visitors were loaded packages in the luggage.	The producers plastered artwork the album cover.	I can can load with the tools in bags.	The mechanic pumped gasoline of a fixed density.	The pancakes splatter water under the grill.	Butter spread guests all over the cookies.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA1 PNounB4	NounBPass3 VerbPass PSubj3	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass4 VerbPass PNounA4
28	The artist will will hang my wall with the picture.	Helium was seeded by the engineers.	The yummy almond butter was spread all over the pastry by you.	Wine was splashed all over the kitchen.	The pages were smudged by teachers.	The site was plastered with the image by the producers.	The place was spurted with the smell.	Scientists promote a strategy to seed helium into algae.	Customers were squirted water in here.	The farmers like to baste butter the meat.	The noodles splatter with fine oil all over the cooktop.	The driver pumped regular air with nitrogen.	Merlin scatters the creatures under earth.	The sugar drizzle the cooks over the cream.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA2 PNounB4	NounBPass3 VerbPass PSubj3	NounBPass5 VerbPass PNounA2 PSubj5	NounBPass2 VerbPass PNounA2
29	Watson showers the reader with the results.	Some tank water was swashed by me.	The liquid was swashed over the biomedia by scientists.	The seeds were sown on the soil.	It was pumped by Claire.	The wast was wrapped with it by him.	The students were showered with excellent information.	The students use the rolled up package to spread the eggs all over bread.	The archaeologist was swashed paint over the pipes.	The producers plastered the title the cds.	The authors simply rub with the pen on the screen.	The cooks sprinkle a little hot pepper from China.	Flanagan strews the humor under figures.	Silk strung the elves over the fence.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA1 PNounB1	NounBPass5 VerbPass PSubj5	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1
30	The band plastered the cassettes with artwork.	The dust was spurted by the breeze.	Salt was sprinkled over the noodles by the nuns.	Onions were spritzed over the fish.	The biomedia was swashed by scientists.	The engine was pumped with heat by the driver.	The ground was sown with the grain.	The waitress sprinkle a little hot pepper over the noodles.	They were sewed heavier material onto the boards.	I can can load packages the luggage.	You sow with the grain on the ground.	The priest strung these lights for illumination.	The volunteers swash the fluid under the counter.	Rubbing alcohol swab me over the bulbs.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA2 PNounB2	NounBPass1 VerbPass PSubj1	NounBPass5 VerbPass PNounA4 PSubj5	NounBPass3 VerbPass PNounA5
