	np-s vp-s	np-s pp1-s vp-s	np-s pp1-p vp-s	np-s pp1-s pp2-s vp-s	np-s pp1-p pp2-s vp-s	np-s pp1-s pp2-p vp-s	np-s pp1-p pp2-p vp-s	np-p vp-p	np-p pp1-s vp-p	np-p pp1-p vp-p	np-p pp1-s pp2-s vp-p	np-p pp1-p pp2-s vp-p	np-p pp1-s pp2-p vp-p	np-p pp1-p pp2-p vp-p	np-s vp-p	np-s pp1-s vp-p	np-s pp1-p vp-p	np-s pp1-s pp2-s vp-p	np-s pp1-p pp2-s vp-p	np-s pp1-s pp2-p vp-p	np-s pp1-p pp2-p vp-p	np-p vp-s	np-p pp1-s vp-s	np-p pp1-p vp-s	np-p pp1-s pp2-s vp-s	np-p pp1-p pp2-s vp-s	np-p pp1-s pp2-p vp-s	np-p pp1-p pp2-p vp-s
10	The napkin shines in the sun .	The napkin on the table shines in the sun .	The napkin on the tables shines in the sun .	The napkin on the table of the banquet shines in the sun .	The napkin on the tables of the banquet shines in the sun .	The napkin on the table of the banquets shines in the sun .	The napkin on the tables of the banquets shines in the sun .	The napkins shine in the sun .	The napkins on the table shine in the sun .	The napkins on the tables shine in the sun .	The napkins on the table of the banquet shine in the sun .	The napkins on the tables of the banquet shine in the sun .	The napkins on the table of the banquets shine in the sun .	The napkins on the tables of the banquets shine in the sun .	The napkin shine in the sun .	The napkin on the table shine in the sun .	The napkin on the tables shine in the sun .	The napkin on the table of the banquet shine in the sun .	The napkin on the tables of the banquet shine in the sun .	The napkin on the table of the banquets shine in the sun .	The napkin on the tables of the banquets shine in the sun .	The napkins shines in the sun .	The napkins on the table shines in the sun .	The napkins on the tables shines in the sun .	The napkins on the table of the banquet shines in the sun .	The napkins on the tables of the banquet shines in the sun .	The napkins on the table of the banquets shines in the sun .	The napkins on the tables of the banquets shines in the sun .
11	The description touches the participants .	The description of the suffering touches the participants .	The description of the sufferings touches the participants .	The description of the suffering in the hospital touches the participants .	The description of the sufferings in the hospital touches the participants .	The description of the suffering in the hospitals touches the participants .	The description of the sufferings in the hospitals touches the participants .	The descriptions touch the participants .	The descriptions of the suffering touch the participants .	The descriptions of the sufferings touch the participants .	The descriptions of the suffering in the hospital touch the participants .	The descriptions of the sufferings in the hospital touch the participants .	The descriptions of the suffering in the hospitals touch the participants .	The descriptions of the sufferings in the hospitals touch the participants .	The description touch the participants .	The description of the suffering touch the participants .	The description of the sufferings touch the participants .	The description of the suffering in the hospital touch the participants .	The description of the sufferings in the hospital touch the participants .	The description of the suffering in the hospitals touch the participants .	The description of the sufferings in the hospitals touch the participants .	The descriptions touches the participants .	The descriptions of the suffering touches the participants .	The descriptions of the sufferings touches the participants .	The descriptions of the suffering in the hospital touches the participants .	The descriptions of the sufferings in the hospital touches the participants .	The descriptions of the suffering in the hospitals touches the participants .	The descriptions of the sufferings in the hospitals touches the participants .
12	The visit is approaching .	The visit to the workshop is approaching .	The visit to the workshops is approaching .	The visit to the workshop of the craftsman is approaching .	The visit to the workshops of the craftsman is approaching .	The visit to the workshop of the craftsmen is approaching .	The visit to the workshops of the craftsmen is approaching .	The visits are approaching .	The visits to the workshop are approaching .	The visits to the workshops are approaching .	The visits to the workshop of the craftsman are approaching .	The visits to the workshops of the craftsman are approaching .	The visits to the workshop of the craftsmen are approaching .	The visits to the workshops of the craftsmen are approaching .	The visit are approaching .	The visit to the workshop are approaching .	The visit to the workshops are approaching .	The visit to the workshop of the craftsman are approaching .	The visit to the workshops of the craftsman are approaching .	The visit to the workshop of the craftsmen are approaching .	The visit to the workshops of the craftsmen are approaching .	The visits is approaching .	The visits to the workshop is approaching .	The visits to the workshops is approaching .	The visits to the workshop of the craftsman is approaching .	The visits to the workshops of the craftsman is approaching .	The visits to the workshop of the craftsmen is approaching .	The visits to the workshops of the craftsmen is approaching .
13	The threat alarms the doctors .	The threat of the reform alarms the doctors .	The threat of the reforms alarms the doctors .	The threat of the reform in the school alarms the doctors .	The threat of the reforms in the school alarms the doctors .	The threat of the reform in the schools alarms the doctors .	The threat of the reforms in the schools alarms the doctors .	The threats alarm the doctors .	The threats of the reform alarm the doctors .	The threats of the reforms alarm the doctors .	The threats of the reform in the school alarm the doctors .	The threats of the reforms in the school alarm the doctors .	The threats of the reform in the schools alarm the doctors .	The threats of the reforms in the schools alarm the doctors .	The threat alarm the doctors .	The threat of the reform alarm the doctors .	The threat of the reforms alarm the doctors .	The threat of the reform in the school alarm the doctors .	The threat of the reforms in the school alarm the doctors .	The threat of the reform in the schools alarm the doctors .	The threat of the reforms in the schools alarm the doctors .	The threats alarms the doctors .	The threats of the reform alarms the doctors .	The threats of the reforms alarms the doctors .	The threats of the reform in the school alarms the doctors .	The threats of the reforms in the school alarms the doctors .	The threats of the reform in the schools alarms the doctors .	The threats of the reforms in the schools alarms the doctors .
14	The helicopter has crashed .	The helicopter for the flight has crashed .	The helicopter for the flights has crashed .	The helicopter for the flight above the canyon has crashed .	The helicopter for the flights above the canyon has crashed .	The helicopter for the flight above the canyons has crashed .	The helicopter for the flights above the canyons has crashed .	The helicopters have crashed .	The helicopters for the flight have crashed .	The helicopters for the flights have crashed .	The helicopters for the flight above the canyon have crashed .	The helicopters for the flights above the canyon have crashed .	The helicopters for the flight above the canyons have crashed .	The helicopters for the flights above the canyons have crashed .	The helicopter have crashed .	The helicopter for the flight have crashed .	The helicopter for the flights have crashed .	The helicopter for the flight above the canyon have crashed .	The helicopter for the flights above the canyon have crashed .	The helicopter for the flight above the canyons have crashed .	The helicopter for the flights above the canyons have crashed .	The helicopters has crashed .	The helicopters for the flight has crashed .	The helicopters for the flights has crashed .	The helicopters for the flight above the canyon has crashed .	The helicopters for the flights above the canyon has crashed .	The helicopters for the flight above the canyons has crashed .	The helicopters for the flights above the canyons has crashed .
15	The party bothers the neighbors .	The party in the apartment bothers the neighbors .	The party in the apartments bothers the neighbors .	The party in the apartment in the basement bothers the neighbors .	The party in the apartments in the basement bothers the neighbors .	The party in the apartment in the basements bothers the neighbors .	The party in the apartments in the basements bothers the neighbors .	The parties bother the neighbors .	The parties in the apartment bother the neighbors .	The parties in the apartments bother the neighbors .	The parties in the apartment in the basement bother the neighbors .	The parties in the apartments in the basement bother the neighbors .	The parties in the apartment in the basements bother the neighbors .	The parties in the apartments in the basements bother the neighbors .	The party bother the neighbors .	The party in the apartment bother the neighbors .	The party in the apartments bother the neighbors .	The party in the apartment in the basement bother the neighbors .	The party in the apartments in the basement bother the neighbors .	The party in the apartment in the basements bother the neighbors .	The party in the apartments in the basements bother the neighbors .	The parties bothers the neighbors .	The parties in the apartment bothers the neighbors .	The parties in the apartments bothers the neighbors .	The parties in the apartment in the basement bothers the neighbors .	The parties in the apartments in the basement bothers the neighbors .	The parties in the apartment in the basements bothers the neighbors .	The parties in the apartments in the basements bothers the neighbors .
16	The producer has won the award .	The producer of the film has won the award .	The producer of the films has won the award .	The producer of the film on the artist has won the award .	The producer of the films on the artist has won the award .	The producer of the film on the artists has won the award .	The producer of the films on the artists has won the award .	The producers have won the award .	The producers of the film have won the award .	The producers of the films have won the award .	The producers of the film on the artist have won the award .	The producers of the films on the artist have won the award .	The producers of the film on the artists have won the award .	The producers of the films on the artists have won the award .	The producer have won the award .	The producer of the film have won the award .	The producer of the films have won the award .	The producer of the film on the artist have won the award .	The producer of the films on the artist have won the award .	The producer of the film on the artists have won the award .	The producer of the films on the artists have won the award .	The producers has won the award .	The producers of the film has won the award .	The producers of the films has won the award .	The producers of the film on the artist has won the award .	The producers of the films on the artist has won the award .	The producers of the film on the artists has won the award .	The producers of the films on the artists has won the award .
17	The cat meows since yesterday evening .	The cat on the roof meows since yesterday evening .	The cat on the roofs meows since yesterday evening .	The cat on the roof of the neighbor meows since yesterday evening .	The cat on the roofs of the neighbor meows since yesterday evening .	The cat on the roof of the neighbors meows since yesterday evening .	The cat on the roofs of the neighbors meows since yesterday evening .	The cats meow since yesterday evening .	The cats on the roof meow since yesterday evening .	The cats on the roofs meow since yesterday evening .	The cats on the roof of the neighbor meow since yesterday evening .	The cats on the roofs of the neighbor meow since yesterday evening .	The cats on the roof of the neighbors meow since yesterday evening .	The cats on the roofs of the neighbors meow since yesterday evening .	The cat meow since yesterday evening .	The cat on the roof meow since yesterday evening .	The cat on the roofs meow since yesterday evening .	The cat on the roof of the neighbor meow since yesterday evening .	The cat on the roofs of the neighbor meow since yesterday evening .	The cat on the roof of the neighbors meow since yesterday evening .	The cat on the roofs of the neighbors meow since yesterday evening .	The cats meows since yesterday evening .	The cats on the roof meows since yesterday evening .	The cats on the roofs meows since yesterday evening .	The cats on the roof of the neighbor meows since yesterday evening .	The cats on the roofs of the neighbor meows since yesterday evening .	The cats on the roof of the neighbors meows since yesterday evening .	The cats on the roofs of the neighbors meows since yesterday evening .
18	The dog falls asleep .	The dog on the pillow falls asleep .	The dog on the pillows falls asleep .	The dog on the pillow of the baby falls asleep .	The dog on the pillows of the baby falls asleep .	The dog on the pillow of the babies falls asleep .	The dog on the pillows of the babies falls asleep .	The dogs fall asleep .	The dogs on the pillow fall asleep .	The dogs on the pillows fall asleep .	The dogs on the pillow of the baby fall asleep .	The dogs on the pillows of the baby fall asleep .	The dogs on the pillow of the babies fall asleep .	The dogs on the pillows of the babies fall asleep .	The dog fall asleep .	The dog on the pillow fall asleep .	The dog on the pillows fall asleep .	The dog on the pillow of the baby fall asleep .	The dog on the pillows of the baby fall asleep .	The dog on the pillow of the babies fall asleep .	The dog on the pillows of the babies fall asleep .	The dogs falls asleep .	The dogs on the pillow falls asleep .	The dogs on the pillows falls asleep .	The dogs on the pillow of the baby falls asleep .	The dogs on the pillows of the baby falls asleep .	The dogs on the pillow of the babies falls asleep .	The dogs on the pillows of the babies falls asleep .
19	The striker blocks the door .	The striker on the balcony blocks the door .	The striker on the balconies blocks the door .	The striker on the balcony of the boss blocks the door .	The striker on the balconies of the boss blocks the door .	The striker on the balcony of the bosses blocks the door .	The striker on the balconies of the bosses blocks the door .	The strikers block the door .	The strikers on the balcony block the door .	The strikers on the balconies block the door .	The strikers on the balcony of the boss block the door .	The strikers on the balconies of the boss block the door .	The strikers on the balcony of the bosses block the door .	The strikers on the balconies of the bosses block the door .	The striker block the door .	The striker on the balcony block the door .	The striker on the balconies block the door .	The striker on the balcony of the boss block the door .	The striker on the balconies of the boss block the door .	The striker on the balcony of the bosses block the door .	The striker on the balconies of the bosses block the door .	The strikers blocks the door .	The strikers on the balcony blocks the door .	The strikers on the balconies blocks the door .	The strikers on the balcony of the boss blocks the door .	The strikers on the balconies of the boss blocks the door .	The strikers on the balcony of the bosses blocks the door .	The strikers on the balconies of the bosses blocks the door .
20	The architect has lost the plans .	The architect of the castle has lost the plans .	The architect of the castles has lost the plans .	The architect of the castle of the millionaire has lost the plans .	The architect of the castles of the millionaire has lost the plans .	The architect of the castle of the millionaires has lost the plans .	The architect of the castles of the millionaires has lost the plans .	The architects have lost the plans .	The architects of the castle have lost the plans .	The architects of the castles have lost the plans .	The architects of the castle of the millionaire have lost the plans .	The architects of the castles of the millionaire have lost the plans .	The architects of the castle of the millionaires have lost the plans .	The architects of the castles of the millionaires have lost the plans .	The architect have lost the plans .	The architect of the castle have lost the plans .	The architect of the castles have lost the plans .	The architect of the castle of the millionaire have lost the plans .	The architect of the castles of the millionaire have lost the plans .	The architect of the castle of the millionaires have lost the plans .	The architect of the castles of the millionaires have lost the plans .	The architects has lost the plans .	The architects of the castle has lost the plans .	The architects of the castles has lost the plans .	The architects of the castle of the millionaire has lost the plans .	The architects of the castles of the millionaire has lost the plans .	The architects of the castle of the millionaires has lost the plans .	The architects of the castles of the millionaires has lost the plans .
21	The victim has filed a complaint .	The victim of the lie has filed a complaint .	The victim of the lies has filed a complaint .	The victim of the lie of the policeman has filed a complaint .	The victim of the lies of the policeman has filed a complaint .	The victim of the lie of the policemen has filed a complaint .	The victim of the lies of the policemen has filed a complaint .	The victims have filed a complaint .	The victims of the lie have filed a complaint .	The victims of the lies have filed a complaint .	The victims of the lie of the policeman have filed a complaint .	The victims of the lies of the policeman have filed a complaint .	The victims of the lie of the policemen have filed a complaint .	The victims of the lies of the policemen have filed a complaint .	The victim have filed a complaint .	The victim of the lie have filed a complaint .	The victim of the lies have filed a complaint .	The victim of the lie of the policeman have filed a complaint .	The victim of the lies of the policeman have filed a complaint .	The victim of the lie of the policemen have filed a complaint .	The victim of the lies of the policemen have filed a complaint .	The victims has filed a complaint .	The victims of the lie has filed a complaint .	The victims of the lies has filed a complaint .	The victims of the lie of the policeman has filed a complaint .	The victims of the lies of the policeman has filed a complaint .	The victims of the lie of the policemen has filed a complaint .	The victims of the lies of the policemen has filed a complaint .
22	The thief has crashed .	The thief of the car has crashed .	The thief of the cars has crashed .	The thief of the car from the mechanic has crashed .	The thief of the cars from the mechanic has crashed .	The thief of the car from the mechanics has crashed .	The thief of the cars from the mechanics has crashed .	The thieves have crashed .	The thieves of the car have crashed .	The thieves of the cars have crashed .	The thieves of the car from the mechanic have crashed .	The thieves of the cars from the mechanic have crashed .	The thieves of the car from the mechanics have crashed .	The thieves of the cars from the mechanics have crashed .	The thief have crashed .	The thief of the car have crashed .	The thief of the cars have crashed .	The thief of the car from the mechanic have crashed .	The thief of the cars from the mechanic have crashed .	The thief of the car from the mechanics have crashed .	The thief of the cars from the mechanics have crashed .	The thieves has crashed .	The thieves of the car has crashed .	The thieves of the cars has crashed .	The thieves of the car from the mechanic has crashed .	The thieves of the cars from the mechanic has crashed .	The thieves of the car from the mechanics has crashed .	The thieves of the cars from the mechanics has crashed .
23	The manager has resigned .	The manager of the right has resigned .	The manager of the rights has resigned .	The manager of the right of the immigrant has resigned .	The manager of the rights of the immigrant has resigned .	The manager of the right of the immigrants has resigned .	The manager of the rights of the immigrants has resigned .	The managers have resigned .	The managers of the right have resigned .	The managers of the rights have resigned .	The managers of the right of the immigrant have resigned .	The managers of the rights of the immigrant have resigned .	The managers of the right of the immigrants have resigned .	The managers of the rights of the immigrants have resigned .	The manager have resigned .	The manager of the right have resigned .	The manager of the rights have resigned .	The manager of the right of the immigrant have resigned .	The manager of the rights of the immigrant have resigned .	The manager of the right of the immigrants have resigned .	The manager of the rights of the immigrants have resigned .	The managers has resigned .	The managers of the right has resigned .	The managers of the rights has resigned .	The managers of the right of the immigrant has resigned .	The managers of the rights of the immigrant has resigned .	The managers of the right of the immigrants has resigned .	The managers of the rights of the immigrants has resigned .
24	The kid is crying .	The kid of the man is crying .	The kid of the men is crying .	The kid of the man near the station is crying .	The kid of the men near the station is crying .	The kid of the man near the stations is crying .	The kid of the men near the stations is crying .	The kids are crying .	The kids of the man are crying .	The kids of the men are crying .	The kids of the man near the station are crying .	The kids of the men near the station are crying .	The kids of the man near the stations are crying .	The kids of the men near the stations are crying .	The kid are crying .	The kid of the man are crying .	The kid of the men are crying .	The kid of the man near the station are crying .	The kid of the men near the station are crying .	The kid of the man near the stations are crying .	The kid of the men near the stations are crying .	The kids is crying .	The kids of the man is crying .	The kids of the men is crying .	The kids of the man near the station is crying .	The kids of the men near the station is crying .	The kids of the man near the stations is crying .	The kids of the men near the stations is crying .
25	The lawyer has returned .	The lawyer of the thief has returned .	The lawyer of the thieves has returned .	The lawyer of the thief from the village has returned .	The lawyer of the thieves from the village has returned .	The lawyer of the thief from the villages has returned .	The lawyer of the thieves from the villages has returned .	The lawyers have returned .	The lawyers of the thief have returned .	The lawyers of the thieves have returned .	The lawyers of the thief from the village have returned .	The lawyers of the thieves from the village have returned .	The lawyers of the thief from the villages have returned .	The lawyers of the thieves from the villages have returned .	The lawyer have returned .	The lawyer of the thief have returned .	The lawyer of the thieves have returned .	The lawyer of the thief from the village have returned .	The lawyer of the thieves from the village have returned .	The lawyer of the thief from the villages have returned .	The lawyer of the thieves from the villages have returned .	The lawyers has returned .	The lawyers of the thief has returned .	The lawyers of the thieves has returned .	The lawyers of the thief from the village has returned .	The lawyers of the thieves from the village has returned .	The lawyers of the thief from the villages has returned .	The lawyers of the thieves from the villages has returned .
26	The pig is wallowing in the pond .	The pig of the worker is wallowing in the pond .	The pig of the workers is wallowing in the pond .	The pig of the worker in the field is wallowing in the pond .	The pig of the workers in the field is wallowing in the pond .	The pig of the worker in the fields is wallowing in the pond .	The pig of the workers in the fields is wallowing in the pond .	The pigs are wallowing in the pond .	The pigs of the worker are wallowing in the pond .	The pigs of the workers are wallowing in the pond .	The pigs of the worker in the field are wallowing in the pond .	The pigs of the workers in the field are wallowing in the pond .	The pigs of the worker in the fields are wallowing in the pond .	The pigs of the workers in the fields are wallowing in the pond .	The pig are wallowing in the pond .	The pig of the worker are wallowing in the pond .	The pig of the workers are wallowing in the pond .	The pig of the worker in the field are wallowing in the pond .	The pig of the workers in the field are wallowing in the pond .	The pig of the worker in the fields are wallowing in the pond .	The pig of the workers in the fields are wallowing in the pond .	The pigs is wallowing in the pond .	The pigs of the worker is wallowing in the pond .	The pigs of the workers is wallowing in the pond .	The pigs of the worker in the field is wallowing in the pond .	The pigs of the workers in the field is wallowing in the pond .	The pigs of the worker in the fields is wallowing in the pond .	The pigs of the workers in the fields is wallowing in the pond .
