	np-s vp-s	np-s pp1-s vp-s	np-s pp1-p vp-s	np-s pp1-s pp2-s vp-s	np-s pp1-p pp2-s vp-s	np-s pp1-s pp2-p vp-s	np-s pp1-p pp2-p vp-s	np-p vp-p	np-p pp1-s vp-p	np-p pp1-p vp-p	np-p pp1-s pp2-s vp-p	np-p pp1-p pp2-s vp-p	np-p pp1-s pp2-p vp-p	np-p pp1-p pp2-p vp-p	np-s vp-p	np-s pp1-s vp-p	np-s pp1-p vp-p	np-s pp1-s pp2-s vp-p	np-s pp1-p pp2-s vp-p	np-s pp1-s pp2-p vp-p	np-s pp1-p pp2-p vp-p	np-p vp-s	np-p pp1-s vp-s	np-p pp1-p vp-s	np-p pp1-s pp2-s vp-s	np-p pp1-p pp2-s vp-s	np-p pp1-s pp2-p vp-s	np-p pp1-p pp2-p vp-s
10	La nappe brille au soleil .	La nappe sur la table brille au soleil .	La nappe sur les tables brille au soleil .	La nappe sur la table du banquet brille au soleil .	La nappe sur les tables du banquet brille au soleil .	La nappe sur la table des banquets brille au soleil .	La nappe sur les tables des banquets brille au soleil .	Les nappes brillent au soleil .	Les nappes sur la table brillent au soleil .	Les nappes sur les tables brillent au soleil .	Les nappes sur la table du banquet brillent au soleil .	Les nappes sur les tables du banquet brillent au soleil .	Les nappes sur la table des banquets brillent au soleil .	Les nappes sur les tables des banquets brillent au soleil .	La nappe brillent au soleil .	La nappe sur la table brillent au soleil .	La nappe sur les tables brillent au soleil .	La nappe sur la table du banquet brillent au soleil .	La nappe sur les tables du banquet brillent au soleil .	La nappe sur la table des banquets brillent au soleil .	La nappe sur les tables des banquets brillent au soleil .	Les nappes brille au soleil .	Les nappes sur la table brille au soleil .	Les nappes sur les tables brille au soleil .	Les nappes sur la table du banquet brille au soleil .	Les nappes sur les tables du banquet brille au soleil .	Les nappes sur la table des banquets brille au soleil .	Les nappes sur les tables des banquets brille au soleil .
11	Le récit touche les participants .	Le récit de la souffrance touche les participants .	Le récit de les souffrances touche les participants .	Le récit de la souffrance dans l' hôpital touche les participants .	Le récit de les souffrances dans l' hôpital touche les participants .	Le récit de la souffrance dans les hôpitaux touche les participants .	Le récit de les souffrances dans les hôpitaux touche les participants .	Les récits touchent les participants .	Les récits de la souffrance touchent les participants .	Les récits de les souffrances touchent les participants .	Les récits de la souffrance dans l' hôpital touchent les participants .	Les récits de les souffrances dans l' hôpital touchent les participants .	Les récits de la souffrance dans les hôpitaux touchent les participants .	Les récits de les souffrances dans les hôpitaux touchent les participants .	Le récit touchent les participants .	Le récit de la souffrance touchent les participants .	Le récit de les souffrances touchent les participants .	Le récit de la souffrance dans l' hôpital touchent les participants .	Le récit de les souffrances dans l' hôpital touchent les participants .	Le récit de la souffrance dans les hôpitaux touchent les participants .	Le récit de les souffrances dans les hôpitaux touchent les participants .	Les récits touche les participants .	Les récits de la souffrance touche les participants .	Les récits de les souffrances touche les participants .	Les récits de la souffrance dans l' hôpital touche les participants .	Les récits de les souffrances dans l' hôpital touche les participants .	Les récits de la souffrance dans les hôpitaux touche les participants .	Les récits de les souffrances dans les hôpitaux touche les participants .
12	La visite approche .	La visite au palais approche .	La visite aux palais approche .	La visite au palais de l' artisanat approche .	La visite aux palais de l' artisanat approche .	La visite au palais des artisanats approche .	La visite aux palais des artisanats approche .	Les visites approchent .	Les visites au palais approchent .	Les visites aux palais approchent .	Les visites au palais de l' artisanat approchent .	Les visites aux palais de l' artisanat approchent .	Les visites au palais des artisanats approchent .	Les visites aux palais des artisanats approchent .	La visite approchent .	La visite au palais approchent .	La visite aux palais approchent .	La visite au palais de l' artisanat approchent .	La visite aux palais de l' artisanat approchent .	La visite au palais des artisanats approchent .	La visite aux palais des artisanats approchent .	Les visites approche .	Les visites au palais approche .	Les visites aux palais approche .	Les visites au palais de l' artisanat approche .	Les visites aux palais de l' artisanat approche .	Les visites au palais des artisanats approche .	Les visites aux palais des artisanats approche .
13	La menace inquiète les médecins .	La menace de la réforme inquiète les médecins .	La menace de les réformes inquiète les médecins .	La menace de la réforme dans l' école inquiète les médecins .	La menace de les réformes dans l' école inquiète les médecins .	La menace de la réforme dans les écoles inquiète les médecins .	La menace de les réformes dans les écoles inquiète les médecins .	Les menaces inquiètent les médecins .	Les menaces de la réforme inquiètent les médecins .	Les menaces de les réformes inquiètent les médecins .	Les menaces de la réforme dans l' école inquiètent les médecins .	Les menaces de les réformes dans l' école inquiètent les médecins .	Les menaces de la réforme dans les écoles inquiètent les médecins .	Les menaces de les réformes dans les écoles inquiètent les médecins .	La menace inquiètent les médecins .	La menace de la réforme inquiètent les médecins .	La menace de les réformes inquiètent les médecins .	La menace de la réforme dans l' école inquiètent les médecins .	La menace de les réformes dans l' école inquiètent les médecins .	La menace de la réforme dans les écoles inquiètent les médecins .	La menace de les réformes dans les écoles inquiètent les médecins .	Les menaces inquiète les médecins .	Les menaces de la réforme inquiète les médecins .	Les menaces de les réformes inquiète les médecins .	Les menaces de la réforme dans l' école inquiète les médecins .	Les menaces de les réformes dans l' école inquiète les médecins .	Les menaces de la réforme dans les écoles inquiète les médecins .	Les menaces de les réformes dans les écoles inquiète les médecins .
14	L' hélicoptere s' écrase .	L' hélicoptere pour le vol s' écrase .	L' hélicoptere pour les vols s' écrase .	L' hélicoptere pour le vol au-dessus du canyon s' écrase .	L' hélicoptere pour les vols au-dessus du canyon s' écrase .	L' hélicoptere pour le vol au-dessus des canyon s' écrase .	L' hélicoptere pour les vols au-dessus des canyon s' écrase .	Les hélicopteres s’écrasent .	Les hélicopteres pour le vol s’écrasent .	Les hélicopteres pour les vols s’écrasent .	Les hélicopteres pour le vol au-dessus du canyon s’écrasent .	Les hélicopteres pour les vols au-dessus du canyon s’écrasent .	Les hélicopteres pour le vol au-dessus des canyon s’écrasent .	Les hélicopteres pour les vols au-dessus des canyon s’écrasent .	L' hélicoptere s’écrasent .	L' hélicoptere pour le vol s’écrasent .	L' hélicoptere pour les vols s’écrasent .	L' hélicoptere pour le vol au-dessus du canyon s’écrasent .	L' hélicoptere pour les vols au-dessus du canyon s’écrasent .	L' hélicoptere pour le vol au-dessus des canyon s’écrasent .	L' hélicoptere pour les vols au-dessus des canyon s’écrasent .	Les hélicopteres s' écrase .	Les hélicopteres pour le vol s' écrase .	Les hélicopteres pour les vols s' écrase .	Les hélicopteres pour le vol au-dessus du canyon s' écrase .	Les hélicopteres pour les vols au-dessus du canyon s' écrase .	Les hélicopteres pour le vol au-dessus des canyon s' écrase .	Les hélicopteres pour les vols au-dessus des canyon s' écrase .
15	La soirée a gêné les voisins .	La soirée dans l' appartement a gêné les voisins .	La soirée dans les appartements a gêné les voisins .	La soirée dans l' appartement du sous-sol a gêné les voisins .	La soirée dans les appartements du sous-sol a gêné les voisins .	La soirée dans l' appartement des sous-sols a gêné les voisins .	La soirée dans les appartements des sous-sols a gêné les voisins .	Les soirées ont gêné les voisins .	Les soirées dans l' appartement ont gêné les voisins .	Les soirées dans les appartements ont gêné les voisins .	Les soirées dans l' appartement du sous-sol ont gêné les voisins .	Les soirées dans les appartements du sous-sol ont gêné les voisins .	Les soirées dans l' appartement des sous-sols ont gêné les voisins .	Les soirées dans les appartements des sous-sols ont gêné les voisins .	La soirée ont gêné les voisins .	La soirée dans l' appartement ont gêné les voisins .	La soirée dans les appartements ont gêné les voisins .	La soirée dans l' appartement du sous-sol ont gêné les voisins .	La soirée dans les appartements du sous-sol ont gêné les voisins .	La soirée dans l' appartement des sous-sols ont gêné les voisins .	La soirée dans les appartements des sous-sols ont gêné les voisins .	Les soirées a gêné les voisins .	Les soirées dans l' appartement a gêné les voisins .	Les soirées dans les appartements a gêné les voisins .	Les soirées dans l' appartement du sous-sol a gêné les voisins .	Les soirées dans les appartements du sous-sol a gêné les voisins .	Les soirées dans l' appartement des sous-sols a gêné les voisins .	Les soirées dans les appartements des sous-sols a gêné les voisins .
16	Le producteur a gagné la palme d’or .	Le producteur du film a gagné la palme d’or .	Le producteur des films a gagné la palme d’or .	Le producteur du film sur l' artiste a gagné la palme d’or .	Le producteur des films sur l' artiste a gagné la palme d’or .	Le producteur du film sur les artistes a gagné la palme d’or .	Le producteur des films sur les artistes a gagné la palme d’or .	Les producteurs ont gagné la palme d’or .	Les producteurs du film ont gagné la palme d’or .	Les producteurs des films ont gagné la palme d’or .	Les producteurs du film sur l' artiste ont gagné la palme d’or .	Les producteurs des films sur l' artiste ont gagné la palme d’or .	Les producteurs du film sur les artistes ont gagné la palme d’or .	Les producteurs des films sur les artistes ont gagné la palme d’or .	Le producteur ont gagné la palme d’or .	Le producteur du film ont gagné la palme d’or .	Le producteur des films ont gagné la palme d’or .	Le producteur du film sur l' artiste ont gagné la palme d’or .	Le producteur des films sur l' artiste ont gagné la palme d’or .	Le producteur du film sur les artistes ont gagné la palme d’or .	Le producteur des films sur les artistes ont gagné la palme d’or .	Les producteurs a gagné la palme d’or .	Les producteurs du film a gagné la palme d’or .	Les producteurs des films a gagné la palme d’or .	Les producteurs du film sur l' artiste a gagné la palme d’or .	Les producteurs des films sur l' artiste a gagné la palme d’or .	Les producteurs du film sur les artistes a gagné la palme d’or .	Les producteurs des films sur les artistes a gagné la palme d’or .
17	Le chat miaule depuis hier soir .	Le chat sur le toit miaule depuis hier soir .	Le chat sur les toits miaule depuis hier soir .	Le chat sur le toit du voisin miaule depuis hier soir .	Le chat sur les toits du voisin miaule depuis hier soir .	Le chat sur le toit des voisins miaule depuis hier soir .	Le chat sur les toits des voisins miaule depuis hier soir .	Les chats miaulent depuis hier soir .	Les chats sur le toit miaulent depuis hier soir .	Les chats sur les toits miaulent depuis hier soir .	Les chats sur le toit du voisin miaulent depuis hier soir .	Les chats sur les toits du voisin miaulent depuis hier soir .	Les chats sur le toit des voisins miaulent depuis hier soir .	Les chats sur les toits des voisins miaulent depuis hier soir .	Le chat miaulent depuis hier soir .	Le chat sur le toit miaulent depuis hier soir .	Le chat sur les toits miaulent depuis hier soir .	Le chat sur le toit du voisin miaulent depuis hier soir .	Le chat sur les toits du voisin miaulent depuis hier soir .	Le chat sur le toit des voisins miaulent depuis hier soir .	Le chat sur les toits des voisins miaulent depuis hier soir .	Les chats miaule depuis hier soir .	Les chats sur le toit miaule depuis hier soir .	Les chats sur les toits miaule depuis hier soir .	Les chats sur le toit du voisin miaule depuis hier soir .	Les chats sur les toits du voisin miaule depuis hier soir .	Les chats sur le toit des voisins miaule depuis hier soir .	Les chats sur les toits des voisins miaule depuis hier soir .
18	Le chien s' endormait .	Le chien sur le coussin s' endormait .	Le chien sur les coussins s' endormait .	Le chien sur le coussin du bébé s' endormait .	Le chien sur les coussins du bébé s' endormait .	Le chien sur le coussin des bébés s' endormait .	Le chien sur les coussins des bébés s' endormait .	Les chiens s’endormaient .	Les chiens sur le coussin s’endormaient .	Les chiens sur les coussins s’endormaient .	Les chiens sur le coussin du bébé s’endormaient .	Les chiens sur les coussins du bébé s’endormaient .	Les chiens sur le coussin des bébés s’endormaient .	Les chiens sur les coussins des bébés s’endormaient .	Le chien s’endormaient .	Le chien sur le coussin s’endormaient .	Le chien sur les coussins s’endormaient .	Le chien sur le coussin du bébé s’endormaient .	Le chien sur les coussins du bébé s’endormaient .	Le chien sur le coussin des bébés s’endormaient .	Le chien sur les coussins des bébés s’endormaient .	Les chiens s' endormait .	Les chiens sur le coussin s' endormait .	Les chiens sur les coussins s' endormait .	Les chiens sur le coussin du bébé s' endormait .	Les chiens sur les coussins du bébé s' endormait .	Les chiens sur le coussin des bébés s' endormait .	Les chiens sur les coussins des bébés s' endormait .
19	Le gréviste bloquait la porte .	Le gréviste sur l' escalier bloquait la porte .	Le gréviste sur les escaliers bloquait la porte .	Le gréviste sur l' escalier du patron bloquait la porte .	Le gréviste sur les escaliers du patron bloquait la porte .	Le gréviste sur l' escalier des patrons bloquait la porte .	Le gréviste sur les escaliers des patrons bloquait la porte .	Les grévistes bloquaient la porte .	Les grévistes sur l' escalier bloquaient la porte .	Les grévistes sur les escaliers bloquaient la porte .	Les grévistes sur l' escalier du patron bloquaient la porte .	Les grévistes sur les escaliers du patron bloquaient la porte .	Les grévistes sur l' escalier des patrons bloquaient la porte .	Les grévistes sur les escaliers des patrons bloquaient la porte .	Le gréviste bloquaient la porte .	Le gréviste sur l' escalier bloquaient la porte .	Le gréviste sur les escaliers bloquaient la porte .	Le gréviste sur l' escalier du patron bloquaient la porte .	Le gréviste sur les escaliers du patron bloquaient la porte .	Le gréviste sur l' escalier des patrons bloquaient la porte .	Le gréviste sur les escaliers des patrons bloquaient la porte .	Les grévistes bloquait la porte .	Les grévistes sur l' escalier bloquait la porte .	Les grévistes sur les escaliers bloquait la porte .	Les grévistes sur l' escalier du patron bloquait la porte .	Les grévistes sur les escaliers du patron bloquait la porte .	Les grévistes sur l' escalier des patrons bloquait la porte .	Les grévistes sur les escaliers des patrons bloquait la porte .
