	np-s vp-s	np-s pp1-s vp-s	np-s pp1-p vp-s	np-s pp1-s pp2-s vp-s	np-s pp1-p pp2-s vp-s	np-s pp1-s pp2-p vp-s	np-s pp1-p pp2-p vp-s	np-p vp-p	np-p pp1-s vp-p	np-p pp1-p vp-p	np-p pp1-s pp2-s vp-p	np-p pp1-p pp2-s vp-p	np-p pp1-s pp2-p vp-p	np-p pp1-p pp2-p vp-p	np-s vp-p	np-s pp1-s vp-p	np-s pp1-p vp-p	np-s pp1-s pp2-s vp-p	np-s pp1-p pp2-s vp-p	np-s pp1-s pp2-p vp-p	np-s pp1-p pp2-p vp-p	np-p vp-s	np-p pp1-s vp-s	np-p pp1-p vp-s	np-p pp1-s pp2-s vp-s	np-p pp1-p pp2-s vp-s	np-p pp1-s pp2-p vp-s	np-p pp1-p pp2-p vp-s
10	La tovaglia brilla al sole .	La tovaglia sul tavolo brilla al sole .	La tovaglia sui tavoli brilla al sole .	La tovaglia sul tavolo del pranzo brilla al sole .	La tovaglia sui tavoli del pranzo brilla al sole .	La tovaglia sul tavolo dei pranzi brilla al sole .	La tovaglia sui tavoli dei pranzi brilla al sole .	Le tovaglie brillano al sole .	Le tovaglie sul tavolo brillano al sole .	Le tovaglie sui tavoli brillano al sole .	Le tovaglie sul tavolo del pranzo brillano al sole .	Le tovaglie sui tavoli del pranzo brillano al sole .	Le tovaglie sul tavolo dei pranzi brillano al sole .	Le tovaglie sui tavoli dei pranzi brillano al sole .	La tovaglia brillano al sole .	La tovaglia sul tavolo brillano al sole .	La tovaglia sui tavoli brillano al sole .	La tovaglia sul tavolo del pranzo brillano al sole .	La tovaglia sui tavoli del pranzo brillano al sole .	La tovaglia sul tavolo dei pranzi brillano al sole .	La tovaglia sui tavoli dei pranzi brillano al sole .	Le tovaglie brilla al sole .	Le tovaglie sul tavolo brilla al sole .	Le tovaglie sui tavoli brilla al sole .	Le tovaglie sul tavolo del pranzo brilla al sole .	Le tovaglie sui tavoli del pranzo brilla al sole .	Le tovaglie sul tavolo dei pranzi brilla al sole .	Le tovaglie sui tavoli dei pranzi brilla al sole .
11	Il racconto commuove i partecipanti .	Il racconto della sofferenza commuove i partecipanti .	Il racconto delle sofferenze commuove i partecipanti .	Il racconto della sofferenza all' ospedale commuove i partecipanti .	Il racconto delle sofferenze all' ospedale commuove i partecipanti .	Il racconto della sofferenza negli ospedali commuove i partecipanti .	Il racconto delle sofferenze negli ospedali commuove i partecipanti .	I racconti commuovono i partecipanti .	I racconti della sofferenza commuovono i partecipanti .	I racconti delle sofferenze commuovono i partecipanti .	I racconti della sofferenza all' ospedale commuovono i partecipanti .	I racconti delle sofferenze all' ospedale commuovono i partecipanti .	I racconti della sofferenza negli ospedali commuovono i partecipanti .	I racconti delle sofferenze negli ospedali commuovono i partecipanti .	Il racconto commuovono i partecipanti .	Il racconto della sofferenza commuovono i partecipanti .	Il racconto delle sofferenze commuovono i partecipanti .	Il racconto della sofferenza all' ospedale commuovono i partecipanti .	Il racconto delle sofferenze all' ospedale commuovono i partecipanti .	Il racconto della sofferenza negli ospedali commuovono i partecipanti .	Il racconto delle sofferenze negli ospedali commuovono i partecipanti .	I racconti commuove i partecipanti .	I racconti della sofferenza commuove i partecipanti .	I racconti delle sofferenze commuove i partecipanti .	I racconti della sofferenza all' ospedale commuove i partecipanti .	I racconti delle sofferenze all' ospedale commuove i partecipanti .	I racconti della sofferenza negli ospedali commuove i partecipanti .	I racconti delle sofferenze negli ospedali commuove i partecipanti .
12	La visita si avvicina .	La visita al palazzo si avvicina .	La visita ai palazzi si avvicina .	La visita al palazzo dell' artigianato si avvicina .	La visita ai palazzi dell' artigianato si avvicina .	La visita al palazzo degli artigianati si avvicina .	La visita ai palazzi degli artigianati si avvicina .	Le visite si avvicinano .	Le visite al palazzo si avvicinano .	Le visite ai palazzi si avvicinano .	Le visite al palazzo dell' artigianato si avvicinano .	Le visite ai palazzi dell' artigianato si avvicinano .	Le visite al palazzo degli artigianati si avvicinano .	Le visite ai palazzi degli artigianati si avvicinano .	La visita si avvicinano .	La visita al palazzo si avvicinano .	La visita ai palazzi si avvicinano .	La visita al palazzo dell' artigianato si avvicinano .	La visita ai palazzi dell' artigianato si avvicinano .	La visita al palazzo degli artigianati si avvicinano .	La visita ai palazzi degli artigianati si avvicinano .	Le visite si avvicina .	Le visite al palazzo si avvicina .	Le visite ai palazzi si avvicina .	Le visite al palazzo dell' artigianato si avvicina .	Le visite ai palazzi dell' artigianato si avvicina .	Le visite al palazzo degli artigianati si avvicina .	Le visite ai palazzi degli artigianati si avvicina .
13	La minaccia inquieta i medici .	La minaccia della riforma inquieta i medici .	La minaccia delle riforme inquieta i medici .	La minaccia della riforma nella scuola inquieta i medici .	La minaccia delle riforme nella scuola inquieta i medici .	La minaccia della riforma nelle scuole inquieta i medici .	La minaccia delle riforme nelle scuole inquieta i medici .	Le minacce inquietano i medici .	Le minacce della riforma inquietano i medici .	Le minacce delle riforme inquietano i medici .	Le minacce della riforma nella scuola inquietano i medici .	Le minacce delle riforme nella scuola inquietano i medici .	Le minacce della riforma nelle scuole inquietano i medici .	Le minacce delle riforme nelle scuole inquietano i medici .	La minaccia inquietano i medici .	La minaccia della riforma inquietano i medici .	La minaccia delle riforme inquietano i medici .	La minaccia della riforma nella scuola inquietano i medici .	La minaccia delle riforme nella scuola inquietano i medici .	La minaccia della riforma nelle scuole inquietano i medici .	La minaccia delle riforme nelle scuole inquietano i medici .	Le minacce inquieta i medici .	Le minacce della riforma inquieta i medici .	Le minacce delle riforme inquieta i medici .	Le minacce della riforma nella scuola inquieta i medici .	Le minacce delle riforme nella scuola inquieta i medici .	Le minacce della riforma nelle scuole inquieta i medici .	Le minacce delle riforme nelle scuole inquieta i medici .
14	L' elicottero si è schiantato .	L' elicottero per il volo si è schiantato .	L' elicottero per i voli si è schiantato .	L' elicottero per il volo sul canyon si è schiantato .	L' elicottero per i voli sul canyon si è schiantato .	L' elicottero per il volo sui canyon si è schiantato .	L' elicottero per i voli sui canyon si è schiantato .	Gli elicotteri si sono schiantati .	Gli elicotteri per il volo si sono schiantati .	Gli elicotteri per i voli si sono schiantati .	Gli elicotteri per il volo sul canyon si sono schiantati .	Gli elicotteri per i voli sul canyon si sono schiantati .	Gli elicotteri per il volo sui canyon si sono schiantati .	Gli elicotteri per i voli sui canyon si sono schiantati .	L' elicottero si sono schiantati .	L' elicottero per il volo si sono schiantati .	L' elicottero per i voli si sono schiantati .	L' elicottero per il volo sul canyon si sono schiantati .	L' elicottero per i voli sul canyon si sono schiantati .	L' elicottero per il volo sui canyon si sono schiantati .	L' elicottero per i voli sui canyon si sono schiantati .	Gli elicotteri si è schiantato .	Gli elicotteri per il volo si è schiantato .	Gli elicotteri per i voli si è schiantato .	Gli elicotteri per il volo sul canyon si è schiantato .	Gli elicotteri per i voli sul canyon si è schiantato .	Gli elicotteri per il volo sui canyon si è schiantato .	Gli elicotteri per i voli sui canyon si è schiantato .
15	La serata ha disturbato i vicini .	La serata nell' appartamento ha disturbato i vicini .	La serata negli appartamenti ha disturbato i vicini .	La serata nell' appartamento del seminterrato ha disturbato i vicini .	La serata negli appartamenti del seminterrato ha disturbato i vicini .	La serata nell' appartamento dei seminterrati ha disturbato i vicini .	La serata negli appartamenti dei seminterrati ha disturbato i vicini .	Le serate hanno disturbato i vicini .	Le serate nell' appartamento hanno disturbato i vicini .	Le serate negli appartamenti hanno disturbato i vicini .	Le serate nell' appartamento del seminterrato hanno disturbato i vicini .	Le serate negli appartamenti del seminterrato hanno disturbato i vicini .	Le serate nell' appartamento dei seminterrati hanno disturbato i vicini .	Le serate negli appartamenti dei seminterrati hanno disturbato i vicini .	La serata hanno disturbato i vicini .	La serata nell' appartamento hanno disturbato i vicini .	La serata negli appartamenti hanno disturbato i vicini .	La serata nell' appartamento del seminterrato hanno disturbato i vicini .	La serata negli appartamenti del seminterrato hanno disturbato i vicini .	La serata nell' appartamento dei seminterrati hanno disturbato i vicini .	La serata negli appartamenti dei seminterrati hanno disturbato i vicini .	Le serate ha disturbato i vicini .	Le serate nell' appartamento ha disturbato i vicini .	Le serate negli appartamenti ha disturbato i vicini .	Le serate nell' appartamento del seminterrato ha disturbato i vicini .	Le serate negli appartamenti del seminterrato ha disturbato i vicini .	Le serate nell' appartamento dei seminterrati ha disturbato i vicini .	Le serate negli appartamenti dei seminterrati ha disturbato i vicini .
16	Il produttore ha vinto la palma d’oro .	Il produttore del film ha vinto la palma d’oro .	Il produttore dei film ha vinto la palma d’oro .	Il produttore del film sull' artista ha vinto la palma d’oro .	Il produttore dei film sull' artista ha vinto la palma d’oro .	Il produttore del film sugli artisti ha vinto la palma d’oro .	Il produttore dei film sugli artisti ha vinto la palma d’oro .	I produttori hanno vinto la palma d' oro .	I produttori del film hanno vinto la palma d' oro .	I produttori dei film hanno vinto la palma d' oro .	I produttori del film sull' artista hanno vinto la palma d' oro .	I produttori dei film sull' artista hanno vinto la palma d' oro .	I produttori del film sugli artisti hanno vinto la palma d' oro .	I produttori dei film sugli artisti hanno vinto la palma d' oro .	Il produttore hanno vinto la palma d' oro .	Il produttore del film hanno vinto la palma d' oro .	Il produttore dei film hanno vinto la palma d' oro .	Il produttore del film sull' artista hanno vinto la palma d' oro .	Il produttore dei film sull' artista hanno vinto la palma d' oro .	Il produttore del film sugli artisti hanno vinto la palma d' oro .	Il produttore dei film sugli artisti hanno vinto la palma d' oro .	I produttori ha vinto la palma d’oro .	I produttori del film ha vinto la palma d’oro .	I produttori dei film ha vinto la palma d’oro .	I produttori del film sull' artista ha vinto la palma d’oro .	I produttori dei film sull' artista ha vinto la palma d’oro .	I produttori del film sugli artisti ha vinto la palma d’oro .	I produttori dei film sugli artisti ha vinto la palma d’oro .
17	Il gatto miagola da ieri sera .	Il gatto sul tetto miagola da ieri sera .	Il gatto sui tetti miagola da ieri sera .	Il gatto sul tetto del vicino miagola da ieri sera .	Il gatto sui tetti del vicino miagola da ieri sera .	Il gatto sul tetto dei vicini miagola da ieri sera .	Il gatto sui tetti dei vicini miagola da ieri sera .	I gatti miagolano da ieri sera .	I gatti sul tetto miagolano da ieri sera .	I gatti sui tetti miagolano da ieri sera .	I gatti sul tetto del vicino miagolano da ieri sera .	I gatti sui tetti del vicino miagolano da ieri sera .	I gatti sul tetto dei vicini miagolano da ieri sera .	I gatti sui tetti dei vicini miagolano da ieri sera .	Il gatto miagolano da ieri sera .	Il gatto sul tetto miagolano da ieri sera .	Il gatto sui tetti miagolano da ieri sera .	Il gatto sul tetto del vicino miagolano da ieri sera .	Il gatto sui tetti del vicino miagolano da ieri sera .	Il gatto sul tetto dei vicini miagolano da ieri sera .	Il gatto sui tetti dei vicini miagolano da ieri sera .	I gatti miagola da ieri sera .	I gatti sul tetto miagola da ieri sera .	I gatti sui tetti miagola da ieri sera .	I gatti sul tetto del vicino miagola da ieri sera .	I gatti sui tetti del vicino miagola da ieri sera .	I gatti sul tetto dei vicini miagola da ieri sera .	I gatti sui tetti dei vicini miagola da ieri sera .
18	Il cane si è addormentato .	Il cane sul cuscino si è addormentato .	Il cane sui cuscini si è addormentato .	Il cane sul cuscino del neonato si è addormentato .	Il cane sui cuscini del neonato si è addormentato .	Il cane sul cuscino dei neonati si è addormentato .	Il cane sui cuscini dei neonati si è addormentato .	I cani si sono addormentati .	I cani sul cuscino si sono addormentati .	I cani sui cuscini si sono addormentati .	I cani sul cuscino del neonato si sono addormentati .	I cani sui cuscini del neonato si sono addormentati .	I cani sul cuscino dei neonati si sono addormentati .	I cani sui cuscini dei neonati si sono addormentati .	Il cane si sono addormentati .	Il cane sul cuscino si sono addormentati .	Il cane sui cuscini si sono addormentati .	Il cane sul cuscino del neonato si sono addormentati .	Il cane sui cuscini del neonato si sono addormentati .	Il cane sul cuscino dei neonati si sono addormentati .	Il cane sui cuscini dei neonati si sono addormentati .	I cani si è addormentato .	I cani sul cuscino si è addormentato .	I cani sui cuscini si è addormentato .	I cani sul cuscino del neonato si è addormentato .	I cani sui cuscini del neonato si è addormentato .	I cani sul cuscino dei neonati si è addormentato .	I cani sui cuscini dei neonati si è addormentato .
19	Lo scioperante bloccava la porta .	Lo scioperante sulla scale bloccava la porta .	Lo scioperante sulle scale bloccava la porta .	Lo scioperante sulla scale del padrone bloccava la porta .	Lo scioperante sulle scale del padrone bloccava la porta .	Lo scioperante sulla scale dei padroni bloccava la porta .	Lo scioperante sulle scale dei padroni bloccava la porta .	Gli scioperanti bloccavano le porte .	Gli scioperanti sulla scale bloccavano le porte .	Gli scioperanti sulle scale bloccavano le porte .	Gli scioperanti sulla scale del padrone bloccavano le porte .	Gli scioperanti sulle scale del padrone bloccavano le porte .	Gli scioperanti sulla scale dei padroni bloccavano le porte .	Gli scioperanti sulle scale dei padroni bloccavano le porte .	Lo scioperante bloccavano le porte .	Lo scioperante sulla scale bloccavano le porte .	Lo scioperante sulle scale bloccavano le porte .	Lo scioperante sulla scale del padrone bloccavano le porte .	Lo scioperante sulle scale del padrone bloccavano le porte .	Lo scioperante sulla scale dei padroni bloccavano le porte .	Lo scioperante sulle scale dei padroni bloccavano le porte .	Gli scioperanti bloccava la porta .	Gli scioperanti sulla scale bloccava la porta .	Gli scioperanti sulle scale bloccava la porta .	Gli scioperanti sulla scale del padrone bloccava la porta .	Gli scioperanti sulle scale del padrone bloccava la porta .	Gli scioperanti sulla scale dei padroni bloccava la porta .	Gli scioperanti sulle scale dei padroni bloccava la porta .
